Date,Definition,Exception,Precedent,Rescinding,Amending
11-15-2021,10,0,0,0,2
07-18-2022,5,0,0,0,15
07-28-2022,14,0,18,0,19
08-16-2022,16,2,0,0,15
12-29-2022,8,10,149,0,4
01-09-2023,0,0,0,0,2
02-09-2023,0,0,0,0,0
03-30-2023,0,0,0,0,1
05-02-2023,7,0,3,0,0
05-16-2023,13,1,1,0,12
05-22-2023,5,0,0,0,9
06-03-2023,0,0,1,0,1
06-07-2023,1,0,0,0,0
06-27-2023,5,7,5,0,1
07-10-2023,6,1,0,0,7
07-14-2023,2,0,0,0,0
07-17-2023,9,3,13,0,4
07-20-2023,1,0,0,0,0
07-24-2023,6,3,3,0,1
07-27-2023,0,0,0,0,0
09-08-2023,4,0,2,0,12
09-18-2023,0,0,0,0,0
09-19-2023,21,0,0,0,11
09-20-2023,5,0,0,0,0
09-30-2023,0,0,5,0,6
10-06-2023,2,2,13,0,0
10-16-2023,1,3,2,0,0
10-25-2023,8,0,7,0,5
11-01-2023,0,2,2,0,0
11-06-2023,0,0,1,0,0
11-07-2023,5,19,19,0,0
11-17-2023,2,0,0,0,2
11-29-2023,10,0,1,0,5
12-04-2023,8,4,0,0,7
12-05-2023,1,0,0,0,3
12-07-2023,0,0,0,0,0
12-13-2023,3,1,0,0,16
12-22-2023,4,0,23,0,9
01-11-2024,7,0,0,0,8
01-19-2024,1,0,0,0,2
02-01-2024,1,1,0,0,0
02-04-2024,0,0,0,0,3
02-29-2024,7,0,0,0,7
03-08-2024,2,0,0,0,1
03-09-2024,12,23,28,0,0
03-11-2024,13,0,0,0,12
03-12-2024,0,0,0,0,3
03-22-2024,0,0,2,0,1
04-10-2024,8,0,0,0,22
04-18-2024,13,1,3,0,11
04-24-2024,5,0,0,0,0
05-14-2024,8,0,0,0,0
05-16-2024,2,0,0,0,3
05-20-2024,19,0,1,0,34
05-21-2024,39,1,0,0,127
06-03-2024,0,0,0,0,1
06-05-2024,2,0,0,0,0
06-14-2024,3,3,5,0,0
06-25-2024,12,0,1,0,28
07-08-2024,3,4,3,0,25
07-09-2024,14,0,0,0,0
07-23-2024,8,2,2,0,33
07-30-2024,6,0,0,0,1
08-01-2024,2,6,8,0,0
09-09-2024,20,3,0,0,9
09-10-2024,0,0,0,0,1
09-18-2024,1,0,0,0,0
09-26-2024,3,0,0,0,1
10-02-2024,0,0,0,0,0
11-12-2024,10,0,1,0,8
12-17-2024,49,20,26,0,20
12-23-2024,1,0,0,0,2
